,geo_group,marketing_group,created_order,order_sum,test_group,user_id,is_new_user
0,regions,context_brand,False,,test,1057393,0
1,msk,context_brand,False,,control,1005901,0
2,regions,organic,False,,test,1049074,1
3,regions,context_brand,False,,control,1027399,0
4,regions,social_media,False,,test,1060042,1
5,regions,target_direct,True,7638.0,test,1053325,1
6,msk,target_direct,True,5615.0,test,1033759,0
7,regions,context_brand,True,6144.0,test,1059346,0
8,spb,target_direct,False,,control,1008877,0
9,msk,target_direct,False,,test,1033567,0
10,regions,organic,False,,test,1046089,0
11,msk,social_media,True,5601.0,test,1037122,0
12,regions,target_direct,False,,control,1025236,0
13,msk,target_direct,True,14012.0,control,1003216,0
14,msk,context_brand,True,13034.0,test,1035676,1
15,msk,target_direct,True,50.0,control,1003474,0
16,regions,context_brand,False,,test,1056640,0
17,spb,target_direct,True,5106.0,control,1008730,0
18,regions,context_brand,True,1600.0,control,1027507,0
19,msk,context_brand,True,7309.0,test,1036252,0
20,msk,target_direct,True,6570.0,control,1002541,0
21,regions,organic,False,,control,1015429,0
22,regions,social_media,False,,test,1060942,1
23,msk,target_direct,True,50.0,test,1034284,0
24,regions,organic,False,,test,1047949,0
25,regions,organic,True,4503.0,control,1017298,0
26,regions,organic,True,2000.0,control,1015579,0
27,regions,context_brand,False,,control,1026955,0
28,regions,social_media,False,,control,1030462,1
29,regions,target_direct,False,,test,1055314,1
30,spb,target_direct,True,50.0,test,1040170,1
31,regions,organic,True,5392.0,control,1015771,0
32,msk,organic,False,,control,1002070,0
33,msk,target_direct,True,15866.0,control,1002337,1
34,regions,organic,True,5872.0,control,1011967,1
35,regions,organic,False,,test,1045405,1
36,regions,context_brand,True,5049.0,test,1056313,1
37,regions,target_direct,False,,control,1022932,0
38,spb,organic,True,2000.0,control,1007290,0
39,regions,organic,False,,control,1013155,1
40,msk,organic,False,,control,1002085,1
41,msk,target_direct,False,,control,1002334,0
42,msk,organic,False,,test,1032691,1
43,spb,target_direct,False,,control,1010119,1
44,regions,target_direct,False,,control,1017883,1
45,spb,organic,False,,control,1006813,1
46,regions,organic,False,,test,1045723,0
47,spb,target_direct,False,,test,1040413,0
48,regions,target_direct,True,50.0,control,1023034,0
49,msk,target_direct,False,,control,1004146,0
50,regions,context_brand,False,,control,1027681,1
51,regions,organic,False,,control,1015729,0
52,regions,target_direct,False,,test,1050526,0
53,regions,context_brand,True,3809.0,test,1056283,0
54,msk,target_direct,True,5581.0,control,1004647,1
55,regions,target_direct,True,4515.0,test,1054027,1
56,msk,target_direct,False,,control,1002853,0
57,spb,organic,False,,test,1039138,0
58,msk,context_brand,False,,control,1005877,0
59,regions,organic,False,,test,1047196,0
60,spb,target_direct,False,,control,1009282,0
61,msk,target_direct,False,,control,1005004,0
62,regions,organic,False,,control,1012291,1
63,regions,organic,False,,test,1043848,1
64,regions,organic,False,,control,1013485,1
65,regions,target_direct,False,,test,1054321,0
66,msk,organic,False,,control,1000519,1
67,msk,organic,False,,control,1000423,1
68,spb,target_direct,False,,test,1040449,0
