,geo_group,marketing_group,created_order,order_sum,test_group,user_id
0,msk,social_media,False,,control,1012306
1,regions,target_direct,False,,control,1047751
2,regions,target_direct,False,,control,1044388
3,msk,context_brand,True,14108.0,control,1010557
4,regions,organic,True,2000.0,control,1024870
5,spb,organic,False,,test,1076950
6,regions,target_direct,False,,control,1045174
7,msk,organic,False,,test,1064896
8,regions,target_direct,False,,test,1100131
9,regions,target_direct,False,,control,1048774
10,regions,target_direct,False,,control,1041436
11,regions,organic,False,,test,1086550
12,msk,target_direct,False,,test,1066477
13,regions,target_direct,False,,test,1108465
14,regions,organic,False,,control,1031236
15,regions,target_direct,False,,control,1048030
16,spb,target_direct,False,,test,1081819
17,msk,context_brand,True,8335.0,test,1072465
18,regions,target_direct,True,50.0,control,1049326
19,msk,context_brand,False,,control,1010905
20,regions,target_direct,False,,control,1052497
21,regions,context_brand,False,,test,1113688
22,regions,organic,False,,control,1024762
23,regions,organic,False,,test,1084465
24,regions,social_media,False,,control,1058974
25,msk,target_direct,False,,test,1068343
26,regions,context_brand,False,,test,1115638
27,regions,context_brand,False,,control,1053571
28,msk,social_media,False,,control,1012642
29,msk,target_direct,True,6575.0,control,1008880
30,msk,context_brand,True,1600.0,control,1010638
31,spb,organic,True,2000.0,test,1075501
32,regions,target_direct,False,,test,1102804
33,regions,target_direct,True,10547.0,control,1045780
34,regions,target_direct,False,,control,1040335
35,regions,target_direct,False,,test,1101877
36,spb,target_direct,False,,test,1079020
37,msk,social_media,False,,test,1073656
38,regions,target_direct,True,50.0,control,1051543
39,regions,context_brand,False,,control,1056370
40,regions,target_direct,False,,control,1041112
41,regions,target_direct,False,,test,1111105
42,regions,organic,False,,test,1088689
43,regions,organic,True,11267.0,control,1034326
44,regions,target_direct,True,50.0,test,1096729
45,regions,social_media,False,,test,1119436
46,spb,organic,False,,control,1016263
47,spb,organic,False,,test,1074646
48,regions,organic,False,,control,1025785
49,regions,context_brand,True,1600.0,test,1115251
50,spb,context_brand,True,22400.0,test,1082485
51,spb,context_brand,True,12186.0,test,1082263
52,msk,target_direct,False,,control,1009585
53,regions,target_direct,False,,test,1098250
54,regions,target_direct,False,,control,1043977
55,spb,context_brand,True,10674.0,test,1082647
56,spb,target_direct,False,,control,1020802
57,regions,target_direct,False,,control,1036513
58,msk,organic,True,14472.0,control,1000243
59,regions,target_direct,False,,control,1047202
60,regions,target_direct,False,,control,1044391
61,regions,social_media,False,,control,1057978
62,msk,organic,True,24260.0,test,1061533
63,spb,context_brand,True,1600.0,control,1022521
64,regions,target_direct,False,,test,1103701
65,msk,organic,False,,control,1003813
66,spb,target_direct,False,,test,1077817
67,regions,target_direct,True,6437.0,control,1045357
68,msk,organic,True,8408.0,control,1002016
69,spb,organic,False,,control,1016074
70,msk,organic,True,2000.0,test,1062280
71,regions,social_media,True,4400.0,control,1057954
72,regions,target_direct,False,,control,1044124
73,msk,organic,False,,control,1000570
74,regions,organic,True,2000.0,test,1091134
75,regions,context_brand,False,,control,1055923
76,regions,organic,False,,test,1090414
77,regions,organic,False,,test,1088377
78,regions,social_media,False,,control,1059418
79,regions,organic,False,,test,1085728
80,msk,organic,True,2000.0,control,1003279
81,regions,target_direct,False,,control,1048135
82,regions,organic,False,,test,1091389
83,regions,social_media,False,,control,1056880
84,regions,social_media,False,,control,1060876
85,regions,organic,True,2000.0,test,1085545
86,msk,organic,True,2000.0,control,1000930
87,spb,target_direct,False,,control,1018948
88,msk,organic,False,,control,1001563
89,msk,organic,False,,test,1065199
90,msk,target_direct,False,,test,1065487
91,regions,target_direct,True,2566.0,test,1107883
92,regions,target_direct,False,,control,1044643
93,regions,context_brand,False,,test,1113166
94,regions,organic,True,5538.0,test,1090045
95,msk,target_direct,True,50.0,test,1069765
96,regions,target_direct,False,,test,1111558
97,msk,context_brand,True,1600.0,control,1011331
98,regions,target_direct,False,,control,1042411
99,regions,target_direct,True,4137.0,test,1110385
100,spb,organic,True,11944.0,control,1013989
101,regions,context_brand,False,,test,1113190
102,msk,target_direct,True,5966.0,control,1005646
103,msk,social_media,False,,test,1072957
104,regions,organic,False,,control,1027165
105,msk,context_brand,True,6827.0,control,1011628
106,regions,context_brand,False,,control,1055104
107,msk,target_direct,False,,control,1008622
108,regions,organic,False,,test,1088932
109,spb,organic,True,16772.0,test,1076761
110,msk,social_media,True,5637.0,control,1012897
111,regions,social_media,False,,test,1116211
112,regions,target_direct,False,,control,1042471
113,regions,target_direct,False,,control,1052680
114,regions,target_direct,False,,test,1109173
115,regions,target_direct,False,,test,1107034
116,regions,organic,False,,test,1086661
117,regions,target_direct,False,,control,1042498
118,regions,organic,False,,test,1092265
119,regions,context_brand,False,,test,1112287
120,regions,target_direct,False,,control,1045654
121,regions,target_direct,False,,test,1104967
122,regions,target_direct,False,,test,1097518
123,regions,organic,False,,control,1030948
124,regions,social_media,True,16492.0,control,1061275
125,regions,target_direct,False,,control,1035865
126,msk,organic,False,,test,1065172
127,regions,context_brand,False,,test,1114471
128,regions,target_direct,True,50.0,test,1097539
129,regions,organic,True,2000.0,test,1087441
130,msk,organic,False,,control,1003918
131,spb,target_direct,False,,test,1078051
132,regions,organic,True,10842.0,test,1086646
133,regions,organic,False,,control,1030165
134,regions,context_brand,False,,control,1056511
135,regions,target_direct,False,,control,1035919
136,regions,organic,True,6384.0,test,1088887
137,spb,organic,False,,control,1015033
138,msk,organic,False,,test,1065097
139,regions,target_direct,False,,test,1109617
140,regions,target_direct,False,,control,1052449
141,regions,target_direct,False,,control,1052029
142,spb,organic,True,2000.0,test,1074436
143,regions,social_media,False,,control,1058794
144,regions,social_media,False,,control,1059442
145,regions,organic,False,,test,1088608
146,regions,context_brand,False,,test,1112032
147,regions,organic,True,2000.0,test,1095163
148,regions,target_direct,False,,control,1050367
149,regions,organic,True,4095.0,test,1087279
150,msk,target_direct,False,,control,1004584
151,msk,target_direct,False,,test,1065802
152,spb,social_media,True,4727.0,control,1023847
153,regions,context_brand,True,1600.0,test,1114006
154,regions,target_direct,True,5514.0,control,1039084
155,regions,organic,False,,test,1091959
156,regions,social_media,False,,control,1057312
157,regions,organic,False,,control,1035037
158,regions,target_direct,False,,control,1039291
159,spb,target_direct,False,,test,1081765
160,regions,target_direct,False,,test,1096408
161,regions,organic,False,,test,1086277
162,spb,target_direct,False,,control,1017016
163,regions,organic,False,,control,1024450
164,regions,organic,False,,control,1030009
165,regions,organic,False,,control,1028176
166,regions,target_direct,False,,test,1100377
167,regions,target_direct,True,4330.0,control,1040302
168,regions,target_direct,False,,control,1041418
169,msk,social_media,True,11254.0,test,1074031
170,regions,organic,False,,test,1094233
171,msk,target_direct,False,,control,1009426
172,regions,organic,False,,control,1033723
173,msk,context_brand,True,7794.0,control,1010479
174,regions,target_direct,False,,control,1038439
175,regions,target_direct,True,8962.0,control,1035931
176,regions,context_brand,False,,test,1112395
177,regions,context_brand,True,1600.0,control,1053868
178,regions,social_media,False,,control,1058296
179,regions,organic,False,,test,1091155
180,msk,organic,True,8653.0,control,1003591
181,spb,social_media,False,,control,1023409
182,regions,organic,False,,control,1027834
183,regions,organic,False,,control,1034122
184,spb,target_direct,False,,control,1019311
185,regions,social_media,False,,test,1118113
186,msk,organic,False,,test,1064263
187,regions,target_direct,True,3805.0,test,1107727
188,regions,target_direct,False,,control,1052668
189,msk,target_direct,True,50.0,control,1005916
190,regions,target_direct,False,,test,1098169
191,regions,social_media,False,,control,1056940
192,spb,target_direct,False,,control,1019971
193,regions,context_brand,True,1600.0,control,1056214
194,msk,target_direct,False,,test,1066519
195,regions,organic,False,,test,1086580
196,regions,organic,False,,test,1092574
197,regions,context_brand,False,,test,1115644
198,regions,context_brand,False,,test,1112977
199,spb,organic,True,11112.0,control,1015474
200,regions,organic,False,,test,1090141
201,msk,organic,False,,control,1001371
202,msk,target_direct,True,5687.0,control,1005766
203,regions,social_media,False,,control,1060762
204,regions,social_media,False,,control,1059745
205,regions,target_direct,False,,control,1039780
206,regions,context_brand,False,,test,1114039
207,regions,target_direct,False,,test,1096489
208,msk,social_media,False,,test,1073395
209,regions,target_direct,True,50.0,test,1098523
210,msk,target_direct,False,,control,1004812
211,msk,target_direct,True,5239.0,test,1066810
